Unique ID,Longitude (X),Latitude (Y),Match,State_Code,County_Code,Tract_Code,Block_Code,GEOID,state,county,cbsa,poverty_rate,mfi,state_mfi,cbsa_mfi,area_mfi,mfi_ratio,eligible_lic,rural_status,DC_Status,DC_Confidence,GEO_fixed,both
menlo-digital-jamestown-drive-petersburg-va,-77.363,37.199,Match,51,730,811200,1000,51730811200,Virginia,Petersburg city,"Richmond, VA",14.890852,47371,115213,110863,110863,0.42729315,1,0,permitted,confirmed,51730811200,0
databank-pit2-summit-park-pittsburgh-pa,-80.1697,40.4433,Match,42,3,459201,2026,42003459201,Pennsylvania,Allegheny County,"Pittsburgh, PA",4.6615491,127574,100262,102107,102107,1.2494148,0,0,operational,reported,42003459201,0
novva-west-jordan-power-ut,-112.04576,40.57389,Match,49,35,115211,3028,49035115211,Utah,Salt Lake County,"Salt Lake City-Murray, UT",7.4424343,137180,109675,116518,116518,1.1773288,0,0,permitted,confirmed,49035115211,0
peak-mining-texas-1-corpus-christi-tx,-97.4263,27.8487,Match,48,355,6300,1001,48355006300,Texas,Nueces County,"Corpus Christi, TX",34.827194,49920,94599,79893,79893,0.62483573,1,0,operational,confirmed,48355006300,0
stack-hillsboro-or,-122.9898,45.5229,Match,41,67,32604,3014,41067032604,Oregon,Washington County,"Portland-Vancouver-Hillsboro, OR-WA",6.2601986,109008,102281,119276,119276,0.91391397,0,0,proposed,reported,41067032604,0
coresite-at1-atlanta-ga-ga,-84.3911712,33.7559857,Match,13,121,11901,1032,13121011901,Georgia,Fulton County,"Atlanta-Sandy Springs-Roswell, GA",23.299101,NA,93754,107388,107388,NA,1,0,operational,reported,13121011901,0
coresite-la2-los-angeles-ca-ca,-118.2359144,34.0584789,Match,6,37,206020,1015,6037206020,California,Los Angeles County,"Los Angeles-Long Beach-Anaheim, CA",7.5555553,156316,113346,108949,108949,1.4347631,0,0,operational,reported,06037206020,0
stack-stafford-technology-campus-va,-77.485,38.365,Match,51,179,10304,3004,51179010304,Virginia,Stafford County,"Washington-Arlington-Alexandria, DC-VA-MD-WV",9.7730227,103765,115213,154653,154653,0.67095369,1,1,permitted,confirmed,51179010304,1
flexential-salt-lake-city-downtown-ut,-111.9548375,40.7563065,Match,49,35,114500,3015,49035114500,Utah,Salt Lake County,"Salt Lake City-Murray, UT",13.612904,101516,109675,116518,116518,0.87124735,0,0,operational,reported,49035114500,0
rowan-bauxite-ii-frederick-md,-77.515,39.34,Match,24,21,752502,2021,24021752502,Maryland,Frederick County,"Washington-Arlington-Alexandria, DC-VA-MD-WV",4.7817836,157986,127817,154653,154653,1.0215515,0,1,permitted,confirmed,24021752502,0
wylie-capital-broadway-merrillville-in,-87.3328,41.4828,Match,18,89,42503,1001,18089042503,Indiana,Lake County,"Chicago-Naperville-Elgin, IL-IN",6.3011971,88125,90767,113207,113207,0.77844125,0,0,proposed,reported,18089042503,0
stack-nova-loudoun-va,-77.49,39.04,Match,51,107,611005,3001,51107611005,Virginia,Loudoun County,"Washington-Arlington-Alexandria, DC-VA-MD-WV",3.6146824,213000,115213,154653,154653,1.3772769,0,0,permitted,confirmed,51107611005,0
iep-hummingbird-power-plant-greene-county-pa,-79.92,39.79,Match,42,59,970800,2022,42059970800,Pennsylvania,Greene County,NA,12.432153,78900,100262,NA,100262,0.78693825,0,1,proposed,reported,42059970800,0
green-energy-ventures-king-george-technology-center-va,-77.29011580291154,38.250254083928,Match,51,99,40400,3029,51099040400,Virginia,King George County,NA,6.6543126,113840,115213,NA,115213,0.98808295,0,1,proposed,reported,51099040400,0
qts-eagle-mountain-ut,-111.9847,40.3155,Match,49,49,10114,1000,49049010114,Utah,Utah County,"Provo-Orem-Lehi, UT",2.173167,106508,109675,110937,110937,0.96007645,0,1,under_construction,reported,49049010114,0
apple-reno-nv,-119.554805,39.563085,Match,32,31,3501,3103,32031003501,Nevada,Washoe County,"Reno, NV",8.5920582,125379,92663,104602,104602,1.1986291,0,0,operational,confirmed,32031003501,0
cleanspark-decatur-tn,-84.7902,35.5148,Match,47,121,960200,1092,47121960200,Tennessee,Meigs County,NA,18.958292,68886,87314,NA,87314,0.78894562,0,1,operational,confirmed,47121960200,0
cyrusone-nva8-sterling-va,-77.4132443,39.0211789,Match,51,107,611502,1004,51107611502,Virginia,Loudoun County,"Washington-Arlington-Alexandria, DC-VA-MD-WV",7.9087348,151591,115213,154653,154653,0.98020083,0,0,operational,reported,51107611502,0
digital-realty-sfo12-365-main-street-ca,-122.390469,37.788731,Match,6,75,61505,1000,6075061505,California,San Francisco County,"San Francisco-Oakland-Fremont, CA",1.7297298,250000,113346,164296,164296,1.5216439,0,0,operational,reported,06075061505,0
markley-lowell-ma,-71.3162,42.6334,Match,25,17,311800,1000,25017311800,Massachusetts,Middlesex County,"Boston-Cambridge-Newton, MA-NH",29.927385,99545,131675,145780,145780,0.68284398,1,0,operational,confirmed,25017311800,0
miningstore-grundy-center-ia,-92.925,42.37,Match,19,75,960400,1049,19075960400,Iowa,Grundy County,"Waterloo-Cedar Falls, IA",3.1122448,101042,97491,90741,90741,1.1135209,0,1,cancelled,confirmed,19075960400,0
google-botetourt-greenfield-va,-79.89,37.42,Match,51,23,40303,1015,51023040303,Virginia,Botetourt County,"Roanoke, VA",4.6639509,118875,115213,89156,89156,1.3333371,0,0,permitted,confirmed,51023040303,0
entergy-franklin-farms-power-station-la,-91.632333,32.477149,Match,22,83,970300,2072,22083970300,Louisiana,Richland Parish,"Monroe, LA",13.783784,80435,79407,67964,67964,1.1834942,0,1,under_construction,confirmed,22083970300,0
serverfarm-ch1-chicago-il,-87.6392312,41.8717114,Match,17,31,841900,2002,17031841900,Illinois,Cook County,"Chicago-Naperville-Elgin, IL-IN",15.074981,191675,106018,113207,113207,1.6931374,0,0,operational,confirmed,17031841900,0
vantage-douglasville-campus-ga,-84.7477,33.7515,Match,13,97,80304,2013,13097080304,Georgia,Douglas County,"Atlanta-Sandy Springs-Roswell, GA",13.08226,87083,93754,107388,107388,0.81091928,0,0,proposed,reported,13097080304,0
karis-critical-deep-river-merrillville-in,-87.27,41.47,Match,18,89,42301,1010,18089042301,Indiana,Lake County,"Chicago-Naperville-Elgin, IL-IN",2.8268552,118259,90767,113207,113207,1.0446262,0,0,proposed,reported,18089042301,0
nebius-vineland-nj,-74.992,39.4862,Match,34,11,40702,2012,34011040702,New Jersey,Cumberland County,"Vineland, NJ",11.467764,85109,127025,80948,80948,1.0514034,0,0,operational,confirmed,34011040702,0
plan-c-crypto-fayetteville-cumberland-county-nc,-78.97722,35.085,Match,37,51,3304,3000,37051003304,North Carolina,Cumberland County,"Fayetteville, NC",16.048307,69760,90290,73956,73956,0.94326359,0,0,operational,reported,37051003304,0
